internal_hyperedge_id,PMID
0,10848580
1,10911573
2,10929005
3,11006292
4,11035913
5,11279107
6,11331774
7,11432821
8,11449791
9,11528602
10,11577199
11,11578859
12,11747759
13,11770449
14,11784747
15,11804427
16,11807029
17,11900459
18,12049844
19,12470544
20,12470822
21,12573694
22,12578543
23,12595570
24,12606442
25,12606487
26,12694202
27,12749385
28,12794672
29,12964870
30,14576770
31,14593798
32,14753346
33,14998955
34,15269168
35,15279879
36,15475561
37,15898073
38,16148054
39,16206564
40,16226033
41,16243309
42,16288218
43,16291790
44,16611987
45,16622804
46,16750430
47,16925845
48,17011555
49,17066377
50,17097653
51,17174984
52,17277742
53,17307916
54,17353358
55,17507391
56,17567666
57,17574330
58,17614952
59,17916986
60,17962086
61,18075884
62,18230176
63,18479765
64,18538392
65,18584208
66,18604495
67,18833327
68,19173719
69,19217431
70,19274465
71,19332051
72,19337405
73,19630168
74,19697149
75,19711251
76,19923012
77,20090043
78,20308546
79,20516185
80,20540672
81,20821609
82,20950945
83,21056458
84,21216091
85,21288363
86,21301212
87,21389340
88,21472890
89,21493633
90,21533032
91,21538810
92,21570390
93,21734784
94,21865323
95,21880274
96,21920032
97,21938500
98,21988118
99,22158118
100,22231012
101,22301974
102,22369216
103,22498737
104,22627279
105,22801368
106,22813371
107,22854564
108,22913558
109,23351725
110,23487481
111,11707591
112,21321190
113,23154632
114,23430244
115,23671187
116,23715874
117,23773313
118,23808878
119,23895002
120,23911391
121,24043604
122,24063232
123,24082482
124,24386837
125,24647037
126,24684304
127,24877677
128,25505203
129,25750229
130,25898403
131,26042547
132,26084897
133,26183914
134,26195670
135,26348275
136,26631802
137,26684043
138,26700477
139,26806737
140,27087400
141,27389484
142,27436953
143,27576004
144,28054105
145,28518115
146,28534241
147,28932797
148,29117553
149,29236155
150,29281819
151,29338855
152,29397877
153,29576393
154,29709808
155,29950120
156,29961812
157,29974375
158,30241500
159,30325454
160,30407618
161,30456345
162,30520400
163,30543895
164,30669423
165,30717629
166,30817312
167,30859076
168,30950848
169,31172209
170,31376802
171,31526669
172,31583846
173,32047904
174,32107392
175,32250927
176,32690677
177,32830431
178,32899676
179,33131929
180,33224290
181,33477862
