nohup: ignoring input
Processed 1,000,000, collected 970,569 PMIDs...
Processed 2,000,000, collected 1,510,904 PMIDs...
Processed 3,000,000, collected 1,520,810 PMIDs...
Processed 4,000,000, collected 1,521,219 PMIDs...
Processed 5,000,000, collected 1,521,239 PMIDs...
Processed 6,000,000, collected 1,521,248 PMIDs...
Processed 7,000,000, collected 1,521,249 PMIDs...
Processed 8,000,000, collected 1,521,250 PMIDs...
Processed 9,000,000, collected 1,521,250 PMIDs...
Processed 10,000,000, collected 1,521,250 PMIDs...
Processed 11,000,000, collected 1,521,250 PMIDs...
Processed 12,000,000, collected 1,521,250 PMIDs...
Processed 13,000,000, collected 1,521,250 PMIDs...
Processed 14,000,000, collected 1,521,250 PMIDs...
Processed 15,000,000, collected 1,521,250 PMIDs...
Processed 16,000,000, collected 1,521,250 PMIDs...
Done. Total processed: 16,218,837, PMIDs collected: 1,521,250
